"specimen_id","displacement_mm","lateral_load_kN"
"thom94d3","-4.80314","-35.63469843"
"thom94d3","-6.89356","-42.09618426"
"thom94d3","-8.78332","-46.60312177"
"thom94d3","-10.70864","-48.23250513"
"thom94d3","-11.46302","-40.79330032"
"thom94d3","-10.3251","-27.51669511"
"thom94d3","-9.83234","-24.15028145"
"thom94d3","-9.33958","-21.10947758"
"thom94d3","-7.6454","-13.53415721"
"thom94d3","-5.3467","-5.308062119"
"thom94d3","-2.99212","2.782807058"
"thom94d3","-0.89154","14.0230167"
"thom94d3","1.19888","27.9512863"
"thom94d3","3.41376","38.40416083"
"thom94d3","5.0165","43.69843346"
"thom94d3","6.5786","48.23250513"
"thom94d3","7.9121","51.3275773"
"thom94d3","9.01954","53.3363939"
"thom94d3","10.0457","47.63510904"
"thom94d3","10.69848","45.70725006"
"thom94d3","11.2014","45.02845154"
"thom94d3","11.06424","40.68476373"
"thom94d3","10.6934","36.15069207"
"thom94d3","10.287","31.07349262"
"thom94d3","9.58596","24.25881805"
"thom94d3","8.88238","20.5120815"
"thom94d3","7.30504","13.50702307"
"thom94d3","5.64896","7.181207982"
"thom94d3","3.97764","1.805532904"
"thom94d3","2.3114","-4.059001663"
"thom94d3","0.27686","-13.56173618"
"thom94d3","-0.05334","-14.78321767"
"thom94d3","-1.00076","-20.34927661"
"thom94d3","-2.7813","-28.54823756"
"thom94d3","-4.63296","-33.9514916"
"thom94d3","-6.5405","-38.21377697"
"thom94d3","-8.45312","-41.47209885"
"thom94d3","-9.81964","-43.18243982"
"thom94d3","-10.97026","-44.24111642"
"thom94d3","-12.05992","-44.13257983"
"thom94d3","-11.17854","-32.86523604"
"thom94d3","-10.1346","-23.14542833"
"thom94d3","-8.89","-16.98241813"
"thom94d3","-7.40156","-11.22642016"
"thom94d3","-5.89026","-5.932147526"
"thom94d3","-4.31292","-1.370941712"
"thom94d3","-2.8448","3.48873973"
"thom94d3","-1.4605","9.896402081"
"thom94d3","-0.0635","17.93255814"
"thom94d3","1.68148","26.07769561"
"thom94d3","3.59918","32.15930336"
"thom94d3","5.32892","36.17782622"
"thom94d3","7.05866","39.30003254"
"thom94d3","8.50646","41.36311743"
"thom94d3","9.92632","42.74784863"
"thom94d3","10.94994","43.5623179"
"thom94d3","11.2903","40.92897107"
"thom94d3","10.84072","35.60756428"
"thom94d3","10.3886","30.20475506"
"thom94d3","9.93394","25.77921998"
"thom94d3","9.46404","21.92394684"
"thom94d3","9.01192","19.88755127"
"thom94d3","8.56488","17.8511557"
"thom94d3","8.0264","15.19067472"
"thom94d3","6.9342","10.71087135"
"thom94d3","5.21462","4.764934335"
"thom94d3","3.38836","-0.36653341"
"thom94d3","1.48082","-7.398281167"
"thom94d3","-0.02032","-14.51187619"
"thom94d3","-0.07874","-14.26722404"
"thom94d3","-0.07874","-14.05015085"
"thom94d3","-0.06858","-13.69740693"
"thom94d3","-0.58674","-17.93255814"
"thom94d3","-3.2131","-29.22703608"
"thom94d3","-5.99694","-35.66183258"
"thom94d3","-8.82142","-40.14163595"
"thom94d3","-11.38682","-42.99250079"
"thom94d3","-13.11656","-43.42664716"
"thom94d3","-13.9573","-42.82925108"
"thom94d3","-14.4399","-42.88396419"
"thom94d3","-14.56182","-40.54864817"
"thom94d3","-14.13002","-35.03730235"
"thom94d3","-13.66774","-30.25902335"
"thom94d3","-13.18768","-25.83348828"
"thom94d3","-12.74572","-22.22242247"
"thom94d3","-12.30122","-20.02322201"
"thom94d3","-11.1506","-14.89175426"
"thom94d3","-8.50646","-6.258202125"
"thom94d3","-5.64134","0.257996818"
"thom94d3","-2.87782","6.746616791"
"thom94d3","-0.26162","18.01396058"
"thom94d3","2.3876","28.73862141"
"thom94d3","5.21208","35.1187048"
"thom94d3","7.89432","38.97397794"
"thom94d3","10.20318","41.52636715"
"thom94d3","12.56792","42.61217789"
"thom94d3","13.76172","41.85197692"
"thom94d3","13.4239","35.44475939"
"thom94d3","12.83208","28.73862141"
"thom94d3","12.07516","21.8425444"
"thom94d3","10.88644","16.16794887"
"thom94d3","8.7884","8.049945544"
"thom94d3","6.52272","2.049740237"
"thom94d3","4.28498","-2.728538761"
"thom94d3","2.032","-8.321731847"
"thom94d3","0.14224","-15.76049183"
"thom94d3","-0.03302","-15.92374154"
"thom94d3","-1.01092","-21.10947758"
"thom94d3","-3.70332","-30.47609654"
"thom94d3","-6.54304","-35.93317406"
"thom94d3","-9.0297","-39.05538038"
"thom94d3","-11.0109","-40.73903203"
"thom94d3","-12.30376","-41.33598329"
"thom94d3","-13.5128","-41.71630618"
"thom94d3","-14.67866","-41.55350129"
"thom94d3","-13.73378","-30.25902335"
"thom94d3","-13.2969","-26.10482976"
"thom94d3","-13.13434","-24.80150101"
"thom94d3","-12.94892","-22.87408685"
"thom94d3","-12.76604","-21.73356298"
"thom94d3","-12.59332","-20.64775224"
"thom94d3","-12.41044","-19.83328297"
"thom94d3","-12.24788","-18.47568592"
"thom94d3","-10.87374","-13.04574255"
"thom94d3","-8.61568","-5.905013378"
"thom94d3","-6.15696","-0.122326078"
"thom94d3","-3.37566","6.339604569"
"thom94d3","-0.762","16.60254006"
"thom94d3","1.89738","26.83789658"
"thom94d3","4.61264","33.21842478"
"thom94d3","7.2644","36.82904577"
"thom94d3","9.99236","38.40416083"
"thom94d3","12.46632","40.38584328"
"thom94d3","13.44422","40.25017254"
"thom94d3","13.95984","40.14163595"
"thom94d3","13.72108","35.87890576"
"thom94d3","13.08354","28.68435312"
"thom94d3","12.17168","19.99608786"
"thom94d3","11.21918","15.62482108"
"thom94d3","9.1313","7.425415315"
"thom94d3","6.81736","1.153868527"
"thom94d3","4.4577","-3.48873973"
"thom94d3","1.87706","-10.00493867"
"thom94d3","0.05842","-16.24935131"
"thom94d3","-0.0127","-15.73335768"
"thom94d3","-1.03886","-20.62061809"
"thom94d3","-4.61772","-31.12776091"
"thom94d3","-8.35406","-36.42203355"
"thom94d3","-12.1285","-40.00596521"
"thom94d3","-15.64894","-40.63049544"
"thom94d3","-17.26438","-40.00596521"
"thom94d3","-18.034","-39.43570328"
"thom94d3","-18.5801","-38.7297706"
"thom94d3","-18.86458","-38.21377697"
"thom94d3","-19.05508","-38.29517941"
"thom94d3","-19.25574","-37.88816719"
"thom94d3","-19.44116","-37.80676475"
"thom94d3","-19.38274","-35.85177162"
"thom94d3","-19.2024","-33.7339736"
"thom94d3","-18.28546","-23.60715367"
"thom94d3","-16.66494","-13.20854744"
"thom94d3","-14.36624","-5.199080705"
"thom94d3","-11.63574","0.257996818"
"thom94d3","-9.06018","4.059001663"
"thom94d3","-6.47954","7.154073834"
"thom94d3","-3.28422","12.47548062"
"thom94d3","0.22606","23.79709271"
"thom94d3","3.84302","32.59389456"
"thom94d3","7.58698","36.74764333"
"thom94d3","11.3411","38.64836816"
"thom94d3","15.2781","38.21377697"
"thom94d3","18.70202","32.37682137"
"thom94d3","17.02562","16.05941228"
"thom94d3","16.71828","14.45760789"
"thom94d3","16.53794","13.56173618"
"thom94d3","16.36014","12.82866936"
"thom94d3","16.17726","11.87808454"
"thom94d3","15.98676","11.09074942"
"thom94d3","15.8369","10.24914601"
"thom94d3","15.67942","9.869267933"
"thom94d3","15.50924","8.945817253"
"thom94d3","15.11046","6.991268946"
"thom94d3","13.05306","0.882527046"
"thom94d3","10.40892","-3.705812915"
"thom94d3","6.98754","-8.620207476"
"thom94d3","3.175","-13.83307767"
"thom94d3","0.23876","-19.86041712"
"thom94d3","0.05842","-20.1317586"
"thom94d3","-2.53238","-26.94643317"
"thom94d3","-6.20268","-32.70243115"
"thom94d3","-9.89838","-35.41762525"
"thom94d3","-13.47724","-36.72050918"
"thom94d3","-16.54302","-37.01942963"
"thom94d3","-18.76298","-36.20496036"
"thom94d3","-18.6309","-25.67068339"
"thom94d3","-17.6911","-16.6839425"
"thom94d3","-16.18234","-10.49335334"
"thom94d3","-14.29766","-4.602129447"
"thom94d3","-11.20648","1.642728015"
"thom94d3","-7.4676","6.339604569"
"thom94d3","-3.7211","11.82381624"
"thom94d3","-0.16002","21.4622215"
"thom94d3","3.4925","29.22703608"
"thom94d3","7.2644","33.02804093"
"thom94d3","11.05662","34.54844286"
"thom94d3","14.3002","35.03730235"
"thom94d3","17.11706","33.51690041"
"thom94d3","18.88744","30.74743802"
"thom94d3","18.3769","22.35809321"
"thom94d3","17.38122","12.63828551"
"thom94d3","15.6972","4.466013884"
"thom94d3","12.97432","-3.190264101"
"thom94d3","9.89584","-9.16333526"
"thom94d3","6.38302","-13.94161426"
"thom94d3","2.8321","-19.23588689"
"thom94d3","0.3048","-23.76995856"
"thom94d3","0.16002","-23.58001952"
"thom94d3","0.14478","-23.28109907"
"thom94d3","0.03302","-24.31308634"
"thom94d3","-5.2959","-32.78383359"
"thom94d3","-10.97788","-35.82463747"
"thom94d3","-16.4973","-36.3406311"
"thom94d3","-21.00834","-34.35850383"
"thom94d3","-24.33828","-30.96495603"
"thom94d3","-26.06548","-29.47168824"
"thom94d3","-26.80208","-28.49396926"
"thom94d3","-27.54376","-27.897018"
"thom94d3","-28.2956","-27.54382925"
"thom94d3","-28.98394","-27.00070147"
"thom94d3","-29.4132","-24.93761657"
"thom94d3","-28.76296","-18.04109473"
"thom94d3","-28.08732","-11.66101135"
"thom94d3","-26.70302","-3.923330922"
"thom94d3","-24.45258","4.031867514"
"thom94d3","-22.1234","9.326140149"
"thom94d3","-19.77898","12.88293766"
"thom94d3","-16.67256","15.32634546"
"thom94d3","-10.91438","18.01396058"
"thom94d3","-5.25018","21.54362395"
"thom94d3","-0.0381","28.30403022"
"thom94d3","5.19176","32.48535796"
"thom94d3","10.48766","32.75669944"
"thom94d3","15.4559","29.66162727"
"thom94d3","17.40916","28.30403022"
"thom94d3","19.5072","27.43529266"
"thom94d3","22.3393","25.42603124"
"thom94d3","25.40508","23.58001952"
"thom94d3","28.47848","22.08675173"
"thom94d3","28.3845","11.79668209"
"thom94d3","27.22626","2.511465577"
"thom94d3","26.0604","-2.375794836"
"thom94d3","24.55672","-8.10421384"
"thom94d3","22.71776","-13.34421818"
"thom94d3","20.17522","-18.55708837"
"thom94d3","16.70812","-23.28109907"
"thom94d3","13.16482","-26.37661606"
"thom94d3","9.7917","-28.79288971"
"thom94d3","5.51434","-31.77942529"
"thom94d3","0.80264","-33.59830286"
"thom94d3","0.35052","-33.08230922"
"thom94d3","-3.12674","-34.92876576"
"thom94d3","-8.4709","-34.38563797"
"thom94d3","-12.79652","-33.54403456"
"thom94d3","-17.07896","-32.6210287"
"thom94d3","-20.56638","-29.98723705"
"thom94d3","-23.97506","-27.70663414"
"thom94d3","-27.47264","-25.39889709"
"thom94d3","-28.43022","-12.04133425"
"thom94d3","-25.1587","3.869062626"
"thom94d3","-23.11654","9.678884074"
"thom94d3","-20.95246","13.99588255"
"thom94d3","-17.81048","17.7426191"
"thom94d3","-13.1572","19.83328297"
"thom94d3","-8.17372","21.86967855"
"thom94d3","-3.1369","24.82907998"
"thom94d3","2.01422","27.13681703"
"thom94d3","7.747","27.73376829"
"thom94d3","13.4493","25.48029953"
"thom94d3","19.37512","21.97821514"
"thom94d3","23.04034","20.10462445"
"thom94d3","25.47874","18.85600882"
"thom94d3","26.71826","17.76975325"
"thom94d3","27.71902","17.87828984"
"thom94d3","28.70708","17.44414347"
"thom94d3","29.65704","16.57540591"
"thom94d3","28.87218","8.728744068"
"thom94d3","28.06954","1.751264608"
"thom94d3","27.23896","-2.864209502"
"thom94d3","25.51938","-9.190469408"
"thom94d3","22.19452","-17.7426191"
"thom94d3","18.70456","-23.82422685"
"thom94d3","15.23492","-27.35389022"
"thom94d3","11.73734","-29.93296875"
"thom94d3","8.34644","-31.15489506"
"thom94d3","4.1021","-32.21357166"
"thom94d3","0.59436","-32.18643751"
"thom94d3","0.36576","-31.39910239"
"thom94d3","0.33274","-31.23629751"
"thom94d3","0.35814","-31.10062677"
"thom94d3","0.381","-31.01922432"
"thom94d3","0.381","-30.80170631"
"thom94d3","0.41402","-31.48050484"
"thom94d3","0.42926","-31.6708887"
"thom94d3","-3.38074","-34.52130871"
"thom94d3","-11.05154","-31.2905658"
"thom94d3","-18.85696","-26.10482976"
"thom94d3","-24.9174","-21.5707581"
"thom94d3","-28.30068","-19.37155763"
"thom94d3","-30.82036","-17.93255814"
"thom94d3","-33.20542","-16.57540591"
"thom94d3","-35.41014","-15.62482108"
"thom94d3","-37.40404","-14.91888841"
"thom94d3","-39.42334","-14.10441915"
"thom94d3","-38.33622","-1.669862163"
"thom94d3","-37.20338","5.199080705"
"thom94d3","-36.06546","9.434676741"
"thom94d3","-34.90468","13.28994988"
"thom94d3","-33.72358","16.52069279"
"thom94d3","-30.17266","23.851361"
"thom94d3","-25.49652","30.12335261"
"thom94d3","-20.96516","31.07349262"
"thom94d3","-16.43634","31.01922432"
"thom94d3","-10.1473","30.74743802"
"thom94d3","-3.82524","29.82443216"
"thom94d3","2.42316","27.48956096"
"thom94d3","8.83158","21.92394684"
"thom94d3","14.98854","17.55268007"
"thom94d3","20.27936","14.67468108"
"thom94d3","24.5491","12.61115136"
"thom94d3","27.29992","11.57960891"
"thom94d3","29.7561","11.30826743"
"thom94d3","31.39948","11.19928601"
"thom94d3","32.94888","10.92794453"
"thom94d3","34.544","10.98221283"
"thom94d3","36.29914","11.52534061"
"thom94d3","38.17366","11.71527965"
"thom94d3","40.06596","12.52974891"
"thom94d3","38.75786","0.420801707"
"thom94d3","37.07892","-7.860006507"
"thom94d3","36.37026","-10.43908504"
"thom94d3","36.02482","-11.95948698"
"thom94d3","33.4772","-19.56194149"
"thom94d3","30.33268","-25.69781754"
"thom94d3","26.06548","-31.20916336"
"thom94d3","21.33854","-33.59830286"
"thom94d3","16.49222","-34.54844286"
"thom94d3","10.12444","-33.35409552"
"thom94d3","3.9751","-30.88355358"
"thom94d3","0.64262","-28.63008482"
"thom94d3","0.55118","-27.9512863"
"thom94d3","0.55372","-27.73376829"
"thom94d3","-5.76326","-24.74723271"
"thom94d3","-13.31722","-16.11368057"
"thom94d3","-19.65198","-11.36253572"
"thom94d3","-25.85466","-7.697201618"
"thom94d3","-31.28772","-5.525135304"
"thom94d3","-34.6202","-5.470867008"
"thom94d3","-37.70122","-5.036275816"
"thom94d3","-39.17442","0.447935855"
"thom94d3","-36.18738","12.20413914"
"thom94d3","-34.3408","15.00029086"
"thom94d3","-33.78454","16.03227813"
"thom94d3","-33.23336","16.90101569"
"thom94d3","-32.7025","17.47127762"
"thom94d3","-32.18942","18.0686737"
"thom94d3","-31.66364","18.34001518"
"thom94d3","-31.12262","19.01881371"
"thom94d3","-30.57906","19.29015519"
"thom94d3","-28.40482","20.59348394"
"thom94d3","-22.4536","20.10462445"
"thom94d3","-15.95882","17.82402155"
"thom94d3","-8.01624","14.97315671"
"thom94d3","-0.1778","15.86947324"
"thom94d3","6.59384","15.08213812"
"thom94d3","13.04036","13.0186084"
"thom94d3","18.02384","11.57960891"
"thom94d3","22.8092","10.92794453"
"thom94d3","27.55392","10.60233475"
"thom94d3","32.31388","11.14501772"
"thom94d3","37.01542","12.63828551"
"thom94d3","39.5224","7.452549463"
"thom94d3","35.39236","-7.887140655"
"thom94d3","30.63748","-17.11808887"
"thom94d3","25.90546","-22.49376395"
"thom94d3","21.082","-24.96475072"
"thom94d3","16.24838","-24.85621413"
"thom94d3","10.84072","-23.71569026"
"thom94d3","4.3434","-20.67488639"
"thom94d3","0.66548","-18.34001518"
"thom94d3","0.54864","-17.82402155"
"thom94d3","0.52578","-17.30847273"
"thom94d3","0.53594","-17.82402155"
